attack,defense,height,hidden_ability,hp,main_ability,name,national,sp_attack,sp_defense,species,speed,total_stats,types,weight
80,90,0.5 m (1′08″),Weak Armor,30,"Swift Swim,Battle Armor",Kabuto,140,55,45,Shellfish Pokémon,55,355,"Rock,Water",11.5 kg (25.4 lbs)
115,105,1.3 m (4′03″),Weak Armor,60,"Swift Swim,Battle Armor",Kabutops,141,65,70,Shellfish Pokémon,80,495,"Rock,Water",40.5 kg (89.3 lbs)
105,65,"1.8 m (5′11″),2.1 m (6′11″)",Unnerve,80,"Rock Head,Pressure,Tough Claws",Aerodactyl,142,60,75,"Fossil Pokémon,Fossil Pokémon",130,515,"Rock,Flying,Rock,Flying","59.0 kg (130.1 lbs),79.0 kg (174.2 lbs)"
110,65,2.1 m (6′11″),Gluttony,160,"Immunity,Thick Fat",Snorlax,143,65,110,Sleeping Pokémon,30,540,Normal,460.0 kg (1014.1 lbs)
85,100,1.7 m (5′07″),Snow Cloak,90,Pressure,Articuno,144,95,125,Freeze Pokémon,85,580,"Ice,Flying",55.4 kg (122.1 lbs)
90,85,1.6 m (5′03″),Static,90,Pressure,Zapdos,145,125,90,Electric Pokémon,100,580,"Electric,Flying",52.6 kg (116.0 lbs)
100,90,2.0 m (6′07″),Flame Body,90,Pressure,Moltres,146,125,85,Flame Pokémon,90,580,"Fire,Flying",60.0 kg (132.3 lbs)
64,45,1.8 m (5′11″),Marvel Scale,41,Shed Skin,Dratini,147,50,50,Dragon Pokémon,50,300,Dragon,3.3 kg (7.3 lbs)
84,65,4.0 m (13′01″),Marvel Scale,61,Shed Skin,Dragonair,148,70,70,Dragon Pokémon,70,420,Dragon,16.5 kg (36.4 lbs)
134,95,2.2 m (7′03″),Multiscale,91,Inner Focus,Dragonite,149,100,100,Dragon Pokémon,80,600,"Dragon,Flying",210.0 kg (463.0 lbs)
110,90,"2.0 m (6′07″),2.3 m (7′07″),1.5 m (4′11″)",Unnerve,106,"Pressure,Steadfast,Insomnia",Mewtwo,150,154,90,"Genetic Pokémon,Genetic Pokémon,Genetic Pokémon",130,680,"Psychic,Psychic,Fighting,Psychic","122.0 kg (269.0 lbs),127.0 kg (280.0 lbs),33.0 kg (72.8 lbs)"
100,100,0.4 m (1′04″),,100,Synchronize,Mew,151,100,100,New Species Pokémon,100,600,Psychic,4.0 kg (8.8 lbs)
49,65,0.9 m (2′11″),Leaf Guard,45,Overgrow,Chikorita,152,49,65,Leaf Pokémon,45,318,Grass,6.4 kg (14.1 lbs)
62,80,1.2 m (3′11″),Leaf Guard,60,Overgrow,Bayleef,153,63,80,Leaf Pokémon,60,405,Grass,15.8 kg (34.8 lbs)
82,100,1.8 m (5′11″),Leaf Guard,80,Overgrow,Meganium,154,83,100,Herb Pokémon,80,525,Grass,100.5 kg (221.6 lbs)
52,43,0.5 m (1′08″),Flash Fire,39,Blaze,Cyndaquil,155,60,50,Fire Mouse Pokémon,65,309,Fire,7.9 kg (17.4 lbs)
64,58,0.9 m (2′11″),Flash Fire,58,Blaze,Quilava,156,80,65,Volcano Pokémon,80,405,Fire,19.0 kg (41.9 lbs)
84,78,1.7 m (5′07″),Flash Fire,78,Blaze,Typhlosion,157,109,85,Volcano Pokémon,100,534,Fire,79.5 kg (175.3 lbs)
65,64,0.6 m (2′00″),Sheer Force,50,Torrent,Totodile,158,44,48,Big Jaw Pokémon,43,314,Water,9.5 kg (20.9 lbs)
80,80,1.1 m (3′07″),Sheer Force,65,Torrent,Croconaw,159,59,63,Big Jaw Pokémon,58,405,Water,25.0 kg (55.1 lbs)
105,100,2.3 m (7′07″),Sheer Force,85,Torrent,Feraligatr,160,79,83,Big Jaw Pokémon,78,530,Water,88.8 kg (195.8 lbs)
46,34,0.8 m (2′07″),Frisk,35,"Run Away,Keen Eye",Sentret,161,35,45,Scout Pokémon,20,215,Normal,6.0 kg (13.2 lbs)
76,64,1.8 m (5′11″),Frisk,85,"Run Away,Keen Eye",Furret,162,45,55,Long Body Pokémon,90,415,Normal,32.5 kg (71.7 lbs)
30,30,0.7 m (2′04″),Tinted Lens,60,"Insomnia,Keen Eye",Hoothoot,163,36,56,Owl Pokémon,50,262,"Normal,Flying",21.2 kg (46.7 lbs)
50,50,1.6 m (5′03″),Tinted Lens,100,"Insomnia,Keen Eye",Noctowl,164,86,96,Owl Pokémon,70,452,"Normal,Flying",40.8 kg (89.9 lbs)
20,30,1.0 m (3′03″),Rattled,40,"Swarm,Early Bird",Ledyba,165,40,80,Five Star Pokémon,55,265,"Bug,Flying",10.8 kg (23.8 lbs)
35,50,1.4 m (4′07″),Iron Fist,55,"Swarm,Early Bird",Ledian,166,55,110,Five Star Pokémon,85,390,"Bug,Flying",35.6 kg (78.5 lbs)
60,40,0.5 m (1′08″),Sniper,40,"Swarm,Insomnia",Spinarak,167,40,40,String Spit Pokémon,30,250,"Bug,Poison",8.5 kg (18.7 lbs)
90,70,1.1 m (3′07″),Sniper,70,"Swarm,Insomnia",Ariados,168,60,70,Long Leg Pokémon,40,400,"Bug,Poison",33.5 kg (73.9 lbs)
90,80,1.8 m (5′11″),Infiltrator,85,Inner Focus,Crobat,169,70,80,Bat Pokémon,130,535,"Poison,Flying",75.0 kg (165.3 lbs)
38,38,0.5 m (1′08″),Water Absorb,75,"Volt Absorb,Illuminate",Chinchou,170,56,56,Angler Pokémon,67,330,"Water,Electric",12.0 kg (26.5 lbs)
58,58,1.2 m (3′11″),Water Absorb,125,"Volt Absorb,Illuminate",Lanturn,171,76,76,Light Pokémon,67,460,"Water,Electric",22.5 kg (49.6 lbs)
40,15,0.3 m (1′00″),Lightning Rod,20,Static,Pichu,172,35,35,Tiny Mouse Pokémon,60,205,Electric,2.0 kg (4.4 lbs)
25,28,0.3 m (1′00″),Friend Guard,50,"Cute Charm,Magic Guard",Cleffa,173,45,55,Star Shape Pokémon,15,218,Fairy,3.0 kg (6.6 lbs)
30,15,0.3 m (1′00″),Friend Guard,90,"Cute Charm,Competitive",Igglybuff,174,40,20,Balloon Pokémon,15,210,"Normal,Fairy",1.0 kg (2.2 lbs)
20,65,0.3 m (1′00″),Super Luck,35,"Hustle,Serene Grace",Togepi,175,40,65,Spike Ball Pokémon,20,245,Fairy,1.5 kg (3.3 lbs)
40,85,0.6 m (2′00″),Super Luck,55,"Hustle,Serene Grace",Togetic,176,80,105,Happiness Pokémon,40,405,"Fairy,Flying",3.2 kg (7.1 lbs)
50,45,0.2 m (0′08″),Magic Bounce,40,"Synchronize,Early Bird",Natu,177,70,45,Tiny Bird Pokémon,70,320,"Psychic,Flying",2.0 kg (4.4 lbs)
75,70,1.5 m (4′11″),Magic Bounce,65,"Synchronize,Early Bird",Xatu,178,95,70,Mystic Pokémon,95,470,"Psychic,Flying",15.0 kg (33.1 lbs)
40,40,0.6 m (2′00″),Plus,55,Static,Mareep,179,65,45,Wool Pokémon,35,280,Electric,7.8 kg (17.2 lbs)
55,55,0.8 m (2′07″),Plus,70,Static,Flaaffy,180,80,60,Wool Pokémon,45,365,Electric,13.3 kg (29.3 lbs)
75,85,"1.4 m (4′07″),1.4 m (4′07″)",Plus,90,"Static,Mold Breaker",Ampharos,181,115,90,"Light Pokémon,Light Pokémon",55,510,"Electric,Electric,Dragon","61.5 kg (135.6 lbs),61.5 kg (135.6 lbs)"
80,95,0.4 m (1′04″),Healer,75,Chlorophyll,Bellossom,182,90,100,Flower Pokémon,50,490,Grass,5.8 kg (12.8 lbs)
20,50,0.4 m (1′04″),Sap Sipper,70,"Thick Fat,Huge Power",Marill,183,20,50,Aqua Mouse Pokémon,40,250,"Water,Fairy",8.5 kg (18.7 lbs)
50,80,0.8 m (2′07″),Sap Sipper,100,"Thick Fat,Huge Power",Azumarill,184,60,80,Aqua Rabbit Pokémon,50,420,"Water,Fairy",28.5 kg (62.8 lbs)
100,115,1.2 m (3′11″),Rattled,70,"Sturdy,Rock Head",Sudowoodo,185,30,65,Imitation Pokémon,30,410,Rock,38.0 kg (83.8 lbs)
75,75,1.1 m (3′07″),Drizzle,90,"Water Absorb,Damp",Politoed,186,90,100,Frog Pokémon,70,500,Water,33.9 kg (74.7 lbs)
35,40,0.4 m (1′04″),Infiltrator,35,"Chlorophyll,Leaf Guard",Hoppip,187,35,55,Cottonweed Pokémon,50,250,"Grass,Flying",0.5 kg (1.1 lbs)
45,50,0.6 m (2′00″),Infiltrator,55,"Chlorophyll,Leaf Guard",Skiploom,188,45,65,Cottonweed Pokémon,80,340,"Grass,Flying",1.0 kg (2.2 lbs)
55,70,0.8 m (2′07″),Infiltrator,75,"Chlorophyll,Leaf Guard",Jumpluff,189,55,95,Cottonweed Pokémon,110,460,"Grass,Flying",3.0 kg (6.6 lbs)
70,55,0.8 m (2′07″),Skill Link,55,"Run Away,Pickup",Aipom,190,40,55,Long Tail Pokémon,85,360,Normal,11.5 kg (25.4 lbs)
30,30,0.3 m (1′00″),Early Bird,30,"Chlorophyll,Solar Power",Sunkern,191,30,30,Seed Pokémon,30,180,Grass,1.8 kg (4.0 lbs)
75,55,0.8 m (2′07″),Early Bird,75,"Chlorophyll,Solar Power",Sunflora,192,105,85,Sun Pokémon,30,425,Grass,8.5 kg (18.7 lbs)
65,45,1.2 m (3′11″),Frisk,65,"Speed Boost,Compound Eyes",Yanma,193,75,45,Clear Wing Pokémon,95,390,"Bug,Flying",38.0 kg (83.8 lbs)
45,45,0.4 m (1′04″),Unaware,55,"Damp,Water Absorb",Wooper,194,25,25,Water Fish Pokémon,15,210,"Water,Ground",8.5 kg (18.7 lbs)
85,85,1.4 m (4′07″),Unaware,95,"Damp,Water Absorb",Quagsire,195,65,65,Water Fish Pokémon,35,430,"Water,Ground",75.0 kg (165.3 lbs)
65,60,0.9 m (2′11″),Magic Bounce,65,Synchronize,Espeon,196,130,95,Sun Pokémon,110,525,Psychic,26.5 kg (58.4 lbs)
65,110,1.0 m (3′03″),Inner Focus,95,Synchronize,Umbreon,197,60,130,Moonlight Pokémon,65,525,Dark,27.0 kg (59.5 lbs)
85,42,0.5 m (1′08″),Prankster,60,"Insomnia,Super Luck",Murkrow,198,85,42,Darkness Pokémon,91,405,"Dark,Flying",2.1 kg (4.6 lbs)
75,80,"2.0 m (6′07″),—",Regenerator,95,"Oblivious,Own Tempo",Slowking,199,100,110,"Royal Pokémon,—",30,490,"Water,Psychic","79.5 kg (175.3 lbs),—"
60,60,0.7 m (2′04″),,60,Levitate,Misdreavus,200,85,85,Screech Pokémon,85,435,Ghost,1.0 kg (2.2 lbs)
72,48,0.5 m (1′08″),,48,Levitate,Unown,201,72,48,Symbol Pokémon,48,336,Psychic,5.0 kg (11.0 lbs)
33,58,1.3 m (4′03″),Telepathy,190,Shadow Tag,Wobbuffet,202,33,58,Patient Pokémon,33,405,Psychic,28.5 kg (62.8 lbs)
80,65,1.5 m (4′11″),Sap Sipper,70,"Inner Focus,Early Bird",Girafarig,203,90,65,Long Neck Pokémon,85,455,"Normal,Psychic",41.5 kg (91.5 lbs)
65,90,0.6 m (2′00″),Overcoat,50,Sturdy,Pineco,204,35,35,Bagworm Pokémon,15,290,Bug,7.2 kg (15.9 lbs)
90,140,1.2 m (3′11″),Overcoat,75,Sturdy,Forretress,205,60,60,Bagworm Pokémon,40,465,"Bug,Steel",125.8 kg (277.3 lbs)
70,70,1.5 m (4′11″),Rattled,100,"Serene Grace,Run Away",Dunsparce,206,65,65,Land Snake Pokémon,45,415,Normal,14.0 kg (30.9 lbs)
75,105,1.1 m (3′07″),Immunity,65,"Hyper Cutter,Sand Veil",Gligar,207,35,65,FlyScorpion Pokémon,85,430,"Ground,Flying",64.8 kg (142.9 lbs)
85,200,"9.2 m (30′02″),10.5 m (34′05″)",Sheer Force,75,"Rock Head,Sturdy,Sand Force",Steelix,208,55,65,"Iron Snake Pokémon,Iron Snake Pokémon",30,510,"Steel,Ground,Steel,Ground","400.0 kg (881.8 lbs),740.0 kg (1631.4 lbs)"
80,50,0.6 m (2′00″),Rattled,60,"Intimidate,Run Away",Snubbull,209,40,40,Fairy Pokémon,30,300,Fairy,7.8 kg (17.2 lbs)
120,75,1.4 m (4′07″),Rattled,90,"Intimidate,Quick Feet",Granbull,210,60,60,Fairy Pokémon,45,450,Fairy,48.7 kg (107.4 lbs)
95,85,0.5 m (1′08″),Intimidate,65,"Poison Point,Swift Swim",Qwilfish,211,55,55,Balloon Pokémon,85,440,"Water,Poison",3.9 kg (8.6 lbs)
130,100,"1.8 m (5′11″),2.0 m (6′07″)",Light Metal,70,"Swarm,Technician,Technician",Scizor,212,55,80,"Pincer Pokémon,Pincer Pokémon",65,500,"Bug,Steel,Bug,Steel","118.0 kg (260.1 lbs),125.0 kg (275.6 lbs)"
10,230,0.6 m (2′00″),Contrary,20,"Sturdy,Gluttony",Shuckle,213,10,230,Mold Pokémon,5,505,"Bug,Rock",20.5 kg (45.2 lbs)
125,75,"1.5 m (4′11″),1.7 m (5′07″)",Moxie,80,"Swarm,Guts,Skill Link",Heracross,214,40,95,"Single Horn Pokémon,Single Horn Pokémon",85,500,"Bug,Fighting,Bug,Fighting","54.0 kg (119.0 lbs),62.5 kg (137.8 lbs)"
95,55,0.9 m (2′11″),Pickpocket,55,"Inner Focus,Keen Eye",Sneasel,215,35,75,Sharp Claw Pokémon,115,430,"Dark,Ice",28.0 kg (61.7 lbs)
80,50,0.6 m (2′00″),Honey Gather,60,"Pickup,Quick Feet",Teddiursa,216,50,50,Little Bear Pokémon,40,330,Normal,8.8 kg (19.4 lbs)
130,75,1.8 m (5′11″),Unnerve,90,"Guts,Quick Feet",Ursaring,217,75,75,Hibernator Pokémon,55,500,Normal,125.8 kg (277.3 lbs)
40,40,0.7 m (2′04″),Weak Armor,40,"Magma Armor,Flame Body",Slugma,218,70,40,Lava Pokémon,20,250,Fire,35.0 kg (77.2 lbs)
50,120,0.8 m (2′07″),Weak Armor,60,"Magma Armor,Flame Body",Magcargo,219,90,80,Lava Pokémon,30,430,"Fire,Rock",55.0 kg (121.3 lbs)
50,40,0.4 m (1′04″),Thick Fat,50,"Oblivious,Snow Cloak",Swinub,220,30,30,Pig Pokémon,50,250,"Ice,Ground",6.5 kg (14.3 lbs)
100,80,1.1 m (3′07″),Thick Fat,100,"Oblivious,Snow Cloak",Piloswine,221,60,60,Swine Pokémon,50,450,"Ice,Ground",55.8 kg (123.0 lbs)
55,95,"0.6 m (2′00″),0.6 m (2′00″)","Regenerator,Cursed Body",65,"Hustle,Natural Cure,Weak Armor",Corsola,222,65,95,"Coral Pokémon,Coral Pokémon",35,410,"Water,Rock,Ghost","5.0 kg (11.0 lbs),0.5 kg (1.1 lbs)"
65,35,0.6 m (2′00″),Moody,35,"Hustle,Sniper",Remoraid,223,65,35,Jet Pokémon,65,300,Water,12.0 kg (26.5 lbs)
105,75,0.9 m (2′11″),Moody,75,"Suction Cups,Sniper",Octillery,224,105,75,Jet Pokémon,45,480,Water,28.5 kg (62.8 lbs)
55,45,0.9 m (2′11″),Insomnia,45,"Vital Spirit,Hustle",Delibird,225,65,45,Delivery Pokémon,75,330,"Ice,Flying",16.0 kg (35.3 lbs)
40,70,2.1 m (6′11″),Water Veil,85,"Swift Swim,Water Absorb",Mantine,226,80,140,Kite Pokémon,70,485,"Water,Flying",220.0 kg (485.0 lbs)
80,140,1.7 m (5′07″),Weak Armor,65,"Keen Eye,Sturdy",Skarmory,227,40,70,Armor Bird Pokémon,70,465,"Steel,Flying",50.5 kg (111.3 lbs)
60,30,0.6 m (2′00″),Unnerve,45,"Early Bird,Flash Fire",Houndour,228,80,50,Dark Pokémon,65,330,"Dark,Fire",10.8 kg (23.8 lbs)
90,50,"1.4 m (4′07″),1.9 m (6′03″)",Unnerve,75,"Early Bird,Flash Fire,Solar Power",Houndoom,229,110,80,"Dark Pokémon,Dark Pokémon",95,500,"Dark,Fire,Dark,Fire","35.0 kg (77.2 lbs),49.5 kg (109.1 lbs)"
95,95,1.8 m (5′11″),Damp,75,"Swift Swim,Sniper",Kingdra,230,95,95,Dragon Pokémon,85,540,"Water,Dragon",152.0 kg (335.1 lbs)
60,60,0.5 m (1′08″),Sand Veil,90,Pickup,Phanpy,231,40,40,Long Nose Pokémon,40,330,Ground,33.5 kg (73.9 lbs)
120,120,1.1 m (3′07″),Sand Veil,90,Sturdy,Donphan,232,60,60,Armor Pokémon,50,500,Ground,120.0 kg (264.6 lbs)
80,90,0.6 m (2′00″),Analytic,85,"Trace,Download",Porygon2,233,105,95,Virtual Pokémon,60,515,Normal,32.5 kg (71.7 lbs)
95,62,1.4 m (4′07″),Sap Sipper,73,"Intimidate,Frisk",Stantler,234,85,65,Big Horn Pokémon,85,465,Normal,71.2 kg (157.0 lbs)
20,35,1.2 m (3′11″),Moody,55,"Own Tempo,Technician",Smeargle,235,20,45,Painter Pokémon,75,250,Normal,58.0 kg (127.9 lbs)
35,35,0.7 m (2′04″),Vital Spirit,35,"Guts,Steadfast",Tyrogue,236,35,35,Scuffle Pokémon,35,210,Fighting,21.0 kg (46.3 lbs)
95,95,1.4 m (4′07″),Steadfast,50,"Intimidate,Technician",Hitmontop,237,35,110,Handstand Pokémon,70,455,Fighting,48.0 kg (105.8 lbs)
30,15,0.4 m (1′04″),Hydration,45,"Oblivious,Forewarn",Smoochum,238,85,65,Kiss Pokémon,65,305,"Ice,Psychic",6.0 kg (13.2 lbs)
63,37,0.6 m (2′00″),Vital Spirit,45,Static,Elekid,239,65,55,Electric Pokémon,95,360,Electric,23.5 kg (51.8 lbs)
75,37,0.7 m (2′04″),Vital Spirit,45,Flame Body,Magby,240,70,55,Live Coal Pokémon,83,365,Fire,21.4 kg (47.2 lbs)
80,105,1.2 m (3′11″),Sap Sipper,95,"Thick Fat,Scrappy",Miltank,241,40,70,Milk Cow Pokémon,100,490,Normal,75.5 kg (166.4 lbs)
10,10,1.5 m (4′11″),Healer,255,"Natural Cure,Serene Grace",Blissey,242,75,135,Happiness Pokémon,55,540,Normal,46.8 kg (103.2 lbs)
85,75,1.9 m (6′03″),Inner Focus,90,Pressure,Raikou,243,115,100,Thunder Pokémon,115,580,Electric,178.0 kg (392.4 lbs)
115,85,2.1 m (6′11″),Inner Focus,115,Pressure,Entei,244,90,75,Volcano Pokémon,100,580,Fire,198.0 kg (436.5 lbs)
75,115,2.0 m (6′07″),Inner Focus,100,Pressure,Suicune,245,90,115,Aurora Pokémon,85,580,Water,187.0 kg (412.3 lbs)
64,50,0.6 m (2′00″),Sand Veil,50,Guts,Larvitar,246,45,50,Rock Skin Pokémon,41,300,"Rock,Ground",72.0 kg (158.7 lbs)
84,70,1.2 m (3′11″),,70,Shed Skin,Pupitar,247,65,70,Hard Shell Pokémon,51,410,"Rock,Ground",152.0 kg (335.1 lbs)
134,110,"2.0 m (6′07″),2.5 m (8′02″)",Unnerve,100,"Sand Stream,Sand Stream",Tyranitar,248,95,100,"Armor Pokémon,Armor Pokémon",61,600,"Rock,Dark,Rock,Dark","202.0 kg (445.3 lbs),255.0 kg (562.2 lbs)"
90,130,5.2 m (17′01″),Multiscale,106,Pressure,Lugia,249,90,154,Diving Pokémon,110,680,"Psychic,Flying",216.0 kg (476.2 lbs)
130,90,3.8 m (12′06″),Regenerator,106,Pressure,Ho-oh,250,110,154,Rainbow Pokémon,90,680,"Fire,Flying",199.0 kg (438.7 lbs)
100,100,0.6 m (2′00″),,100,Natural Cure,Celebi,251,100,100,Time Travel Pokémon,100,600,"Psychic,Grass",5.0 kg (11.0 lbs)
45,35,0.5 m (1′08″),Unburden,40,Overgrow,Treecko,252,65,55,Wood Gecko Pokémon,70,310,Grass,5.0 kg (11.0 lbs)
65,45,0.9 m (2′11″),Unburden,50,Overgrow,Grovyle,253,85,65,Wood Gecko Pokémon,95,405,Grass,21.6 kg (47.6 lbs)
85,65,"1.7 m (5′07″),1.9 m (6′03″)",Unburden,70,"Overgrow,Lightning Rod",Sceptile,254,105,85,"Forest Pokémon,Forest Pokémon",120,530,"Grass,Grass,Dragon","52.2 kg (115.1 lbs),55.2 kg (121.7 lbs)"
60,40,0.4 m (1′04″),Speed Boost,45,Blaze,Torchic,255,70,50,Chick Pokémon,45,310,Fire,2.5 kg (5.5 lbs)
85,60,0.9 m (2′11″),Speed Boost,60,Blaze,Combusken,256,85,60,Young Fowl Pokémon,55,405,"Fire,Fighting",19.5 kg (43.0 lbs)
120,70,"1.9 m (6′03″),1.9 m (6′03″)",Speed Boost,80,"Blaze,Speed Boost",Blaziken,257,110,70,"Blaze Pokémon,Blaze Pokémon",80,530,"Fire,Fighting,Fire,Fighting","52.0 kg (114.6 lbs),52.0 kg (114.6 lbs)"
70,50,0.4 m (1′04″),Damp,50,Torrent,Mudkip,258,50,50,Mud Fish Pokémon,40,310,Water,7.6 kg (16.8 lbs)
85,70,0.7 m (2′04″),Damp,70,Torrent,Marshtomp,259,60,70,Mud Fish Pokémon,50,405,"Water,Ground",28.0 kg (61.7 lbs)
110,90,"1.5 m (4′11″),1.9 m (6′03″)",Damp,100,"Torrent,Swift Swim",Swampert,260,85,90,"Mud Fish Pokémon,Mud Fish Pokémon",60,535,"Water,Ground,Water,Ground","81.9 kg (180.6 lbs),102.0 kg (224.9 lbs)"
55,35,0.5 m (1′08″),Rattled,35,"Run Away,Quick Feet",Poochyena,261,30,30,Bite Pokémon,35,220,Dark,13.6 kg (30.0 lbs)
90,70,1.0 m (3′03″),Moxie,70,"Intimidate,Quick Feet",Mightyena,262,60,60,Bite Pokémon,70,420,Dark,37.0 kg (81.6 lbs)
30,41,"0.4 m (1′04″),0.4 m (1′04″)","Quick Feet,Quick Feet",38,"Pickup,Gluttony,Pickup,Gluttony",Zigzagoon,263,30,41,"TinyRaccoon Pokémon,Tiny Raccoon Pokémon",60,240,"Normal,Dark,Normal","17.5 kg (38.6 lbs),17.5 kg (38.6 lbs)"
70,61,"0.5 m (1′08″),0.5 m (1′08″)","Quick Feet,Quick Feet",78,"Pickup,Gluttony,Pickup,Gluttony",Linoone,264,50,61,"Rushing Pokémon,Rushing Pokémon",100,420,"Normal,Dark,Normal","32.5 kg (71.7 lbs),32.5 kg (71.7 lbs)"
45,35,0.3 m (1′00″),Run Away,45,Shield Dust,Wurmple,265,20,30,Worm Pokémon,20,195,Bug,3.6 kg (7.9 lbs)
35,55,0.6 m (2′00″),,50,Shed Skin,Silcoon,266,25,25,Cocoon Pokémon,15,205,Bug,10.0 kg (22.0 lbs)
70,50,1.0 m (3′03″),Rivalry,60,Swarm,Beautifly,267,100,50,Butterfly Pokémon,65,395,"Bug,Flying",28.4 kg (62.6 lbs)
35,55,0.7 m (2′04″),,50,Shed Skin,Cascoon,268,25,25,Cocoon Pokémon,15,205,Bug,11.5 kg (25.4 lbs)
50,70,1.2 m (3′11″),Compound Eyes,60,Shield Dust,Dustox,269,50,90,Poison Moth Pokémon,65,385,"Bug,Poison",31.6 kg (69.7 lbs)
30,30,0.5 m (1′08″),Own Tempo,40,"Swift Swim,Rain Dish",Lotad,270,40,50,Water Weed Pokémon,30,220,"Water,Grass",2.6 kg (5.7 lbs)
50,50,1.2 m (3′11″),Own Tempo,60,"Swift Swim,Rain Dish",Lombre,271,60,70,Jolly Pokémon,50,340,"Water,Grass",32.5 kg (71.7 lbs)
70,70,1.5 m (4′11″),Own Tempo,80,"Swift Swim,Rain Dish",Ludicolo,272,90,100,Carefree Pokémon,70,480,"Water,Grass",55.0 kg (121.3 lbs)
40,50,0.5 m (1′08″),Pickpocket,40,"Chlorophyll,Early Bird",Seedot,273,30,30,Acorn Pokémon,30,220,Grass,4.0 kg (8.8 lbs)
70,40,1.0 m (3′03″),Pickpocket,70,"Chlorophyll,Early Bird",Nuzleaf,274,60,40,Wily Pokémon,60,340,"Grass,Dark",28.0 kg (61.7 lbs)
100,60,1.3 m (4′03″),Pickpocket,90,"Chlorophyll,Early Bird",Shiftry,275,90,60,Wicked Pokémon,80,480,"Grass,Dark",59.6 kg (131.4 lbs)
55,30,0.3 m (1′00″),Scrappy,40,Guts,Taillow,276,30,30,TinySwallow Pokémon,85,270,"Normal,Flying",2.3 kg (5.1 lbs)
85,60,0.7 m (2′04″),Scrappy,60,Guts,Swellow,277,75,50,Swallow Pokémon,125,455,"Normal,Flying",19.8 kg (43.7 lbs)
30,30,0.6 m (2′00″),Rain Dish,40,"Keen Eye,Hydration",Wingull,278,55,30,Seagull Pokémon,85,270,"Water,Flying",9.5 kg (20.9 lbs)
50,100,1.2 m (3′11″),Rain Dish,60,"Keen Eye,Drizzle",Pelipper,279,95,70,Water Bird Pokémon,65,440,"Water,Flying",28.0 kg (61.7 lbs)
25,25,0.4 m (1′04″),Telepathy,28,"Synchronize,Trace",Ralts,280,45,35,Feeling Pokémon,40,198,"Psychic,Fairy",6.6 kg (14.6 lbs)
35,35,0.8 m (2′07″),Telepathy,38,"Synchronize,Trace",Kirlia,281,65,55,Emotion Pokémon,50,278,"Psychic,Fairy",20.2 kg (44.5 lbs)
65,65,"1.6 m (5′03″),1.6 m (5′03″)",Telepathy,68,"Synchronize,Trace,Pixilate",Gardevoir,282,125,115,"Embrace Pokémon,Embrace Pokémon",80,518,"Psychic,Fairy,Psychic,Fairy","48.4 kg (106.7 lbs),48.4 kg (106.7 lbs)"
30,32,0.5 m (1′08″),Rain Dish,40,Swift Swim,Surskit,283,50,52,Pond Skater Pokémon,65,269,"Bug,Water",1.7 kg (3.7 lbs)
60,62,0.8 m (2′07″),Unnerve,70,Intimidate,Masquerain,284,100,82,Eyeball Pokémon,80,454,"Bug,Flying",3.6 kg (7.9 lbs)
40,60,0.4 m (1′04″),Quick Feet,60,"Effect Spore,Poison Heal",Shroomish,285,40,60,Mushroom Pokémon,35,295,Grass,4.5 kg (9.9 lbs)
130,80,1.2 m (3′11″),Technician,60,"Effect Spore,Poison Heal",Breloom,286,60,60,Mushroom Pokémon,70,460,"Grass,Fighting",39.2 kg (86.4 lbs)
60,60,0.8 m (2′07″),,60,Truant,Slakoth,287,35,35,Slacker Pokémon,30,280,Normal,24.0 kg (52.9 lbs)
80,80,1.4 m (4′07″),,80,Vital Spirit,Vigoroth,288,55,55,Wild Monkey Pokémon,90,440,Normal,46.5 kg (102.5 lbs)
160,100,2.0 m (6′07″),,150,Truant,Slaking,289,95,65,Lazy Pokémon,100,670,Normal,130.5 kg (287.7 lbs)
45,90,0.5 m (1′08″),Run Away,31,Compound Eyes,Nincada,290,30,30,Trainee Pokémon,40,266,"Bug,Ground",5.5 kg (12.1 lbs)
90,45,0.8 m (2′07″),Infiltrator,61,Speed Boost,Ninjask,291,50,50,Ninja Pokémon,160,456,"Bug,Flying",12.0 kg (26.5 lbs)
90,45,0.8 m (2′07″),,1,Wonder Guard,Shedinja,292,30,30,Shed Pokémon,40,236,"Bug,Ghost",1.2 kg (2.6 lbs)
51,23,0.6 m (2′00″),Rattled,64,Soundproof,Whismur,293,51,23,Whisper Pokémon,28,240,Normal,16.3 kg (35.9 lbs)
71,43,1.0 m (3′03″),Scrappy,84,Soundproof,Loudred,294,71,43,Big Voice Pokémon,48,360,Normal,40.5 kg (89.3 lbs)
91,63,1.5 m (4′11″),Scrappy,104,Soundproof,Exploud,295,91,73,Loud Noise Pokémon,68,490,Normal,84.0 kg (185.2 lbs)
60,30,1.0 m (3′03″),Sheer Force,72,"Thick Fat,Guts",Makuhita,296,20,30,Guts Pokémon,25,237,Fighting,86.4 kg (190.5 lbs)
120,60,2.3 m (7′07″),Sheer Force,144,"Thick Fat,Guts",Hariyama,297,40,60,Arm Thrust Pokémon,50,474,Fighting,253.8 kg (559.5 lbs)
20,40,0.2 m (0′08″),Sap Sipper,50,"Thick Fat,Huge Power",Azurill,298,20,40,Polka Dot Pokémon,20,190,"Normal,Fairy",2.0 kg (4.4 lbs)
